                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3671,                 3.0587,                 1.4515,                0.45233,                0.28235,                0.25226,                0.10691,                 1.8647,                 2.8809,                 1.7853,               0.070184,              0.0033129,              0.0033129
                      1,                  1.292,                 2.0202,                 1.4042,                0.52367,                0.39709,                0.40548,                0.18687,                 1.8527,                 2.2875,                 1.8273,               0.040118,              0.0065804,              0.0065804
                      2,                 1.2834,                  1.855,                 1.4067,                0.47213,                0.38174,                0.35782,                0.15425,                 1.9889,                 2.3773,                 2.0292,              0.0099865,               0.009782,               0.009782
                      3,                 1.3007,                 1.8044,                 1.4177,                0.44319,                0.39776,                0.38913,                0.18252,                 1.9192,                 2.8834,                 1.9127,               0.009703,               0.009703,               0.009703
                      4,                  1.276,                 1.7039,                 1.3969,                0.57457,                 0.3895,                0.41333,                0.17268,                 1.9914,                 2.3586,                  1.991,               0.009703,               0.009703,               0.009703
                      5,                 1.2507,                 1.6073,                 1.3779,                0.61794,                0.46928,                0.48568,                0.23157,                 1.8551,                 1.9631,                 1.8355,               0.009604,               0.009604,               0.009604
                      6,                  1.235,                 1.5287,                 1.3584,                0.62318,                0.45904,                0.51142,                0.23886,                 1.8754,                 1.8641,                 1.8966,               0.009505,               0.009505,               0.009505
                      7,                 1.2227,                 1.5164,                 1.3637,                 0.6633,                0.47322,                0.53597,                 0.2377,                 1.8917,                  1.795,                 1.8874,               0.009406,               0.009406,               0.009406
                      8,                 1.2023,                 1.4732,                 1.3425,                0.66791,                0.53394,                0.58693,                0.29238,                 1.7357,                 1.6263,                 1.7274,               0.009307,               0.009307,               0.009307
                      9,                 1.1916,                 1.4223,                 1.3339,                0.69358,                0.50939,                0.55235,                0.24448,                 1.9004,                 1.6762,                 1.8905,               0.009208,               0.009208,               0.009208
                     10,                 1.1753,                 1.3865,                 1.3271,                0.71104,                0.54778,                0.58565,                0.28416,                  1.802,                 1.5603,                 1.8099,               0.009109,               0.009109,               0.009109
                     11,                 1.1525,                  1.349,                 1.3128,                0.77335,                0.53159,                0.60131,                0.31283,                 1.7277,                 1.5025,                 1.7374,                0.00901,                0.00901,                0.00901
                     12,                 1.1495,                  1.322,                 1.3056,                0.68003,                0.52575,                0.58046,                0.26294,                 1.9166,                 1.6133,                 1.9101,               0.008911,               0.008911,               0.008911
                     13,                  1.144,                 1.3044,                 1.3057,                0.70056,                0.51721,                0.57583,                0.28128,                 1.8118,                 1.5332,                 1.7945,               0.008812,               0.008812,               0.008812
                     14,                 1.1258,                 1.2673,                 1.2915,                0.72164,                0.56995,                0.61073,                0.28802,                 1.8141,                 1.4473,                 1.8191,               0.008713,               0.008713,               0.008713
                     15,                 1.1285,                 1.2542,                 1.2908,                0.73554,                0.57868,                0.61037,                0.31748,                 1.7158,                 1.4431,                 1.7245,               0.008614,               0.008614,               0.008614
                     16,                 1.1198,                 1.2319,                 1.2819,                  0.786,                0.58017,                0.63511,                0.31974,                 1.7398,                  1.352,                 1.7522,               0.008515,               0.008515,               0.008515
                     17,                 1.1134,                 1.2199,                 1.2799,                0.70803,                0.60738,                0.63841,                0.31944,                 1.7159,                 1.3583,                 1.7507,               0.008416,               0.008416,               0.008416
                     18,                 1.0981,                 1.1809,                 1.2684,                0.78301,                0.58701,                0.63512,                0.32199,                 1.7146,                  1.348,                 1.7363,               0.008317,               0.008317,               0.008317
                     19,                 1.0892,                 1.1674,                 1.2596,                0.79733,                0.56149,                0.64703,                0.32217,                 1.6879,                 1.3443,                 1.7618,               0.008218,               0.008218,               0.008218
                     20,                 1.0831,                 1.1544,                 1.2548,                0.77948,                0.60668,                0.65823,                0.35151,                 1.5989,                 1.2428,                 1.6382,               0.008119,               0.008119,               0.008119
                     21,                 1.0775,                 1.1374,                 1.2513,                0.79857,                0.61099,                0.66974,                0.33361,                  1.743,                 1.2969,                 1.7332,                0.00802,                0.00802,                0.00802
                     22,                 1.0685,                 1.1183,                 1.2424,                0.80428,                0.59733,                0.65432,                0.33634,                 1.7375,                 1.3742,                 1.7564,               0.007921,               0.007921,               0.007921
                     23,                 1.0643,                  1.115,                 1.2468,                0.81312,                 0.6315,                0.69778,                0.37162,                 1.5899,                 1.1625,                 1.6233,               0.007822,               0.007822,               0.007822
                     24,                 1.0635,                 1.0921,                 1.2369,                0.72179,                0.63544,                0.66352,                0.35348,                  1.648,                 1.2585,                 1.6986,               0.007723,               0.007723,               0.007723
                     25,                  1.043,                 1.0752,                 1.2302,                0.80705,                0.63055,                0.68422,                0.35222,                  1.683,                 1.2334,                 1.6888,               0.007624,               0.007624,               0.007624
                     26,                 1.0493,                  1.067,                 1.2322,                0.80295,                0.60473,                0.67018,                0.35224,                  1.676,                 1.2135,                 1.6497,               0.007525,               0.007525,               0.007525
                     27,                 1.0405,                 1.0627,                 1.2306,                0.83443,                0.59253,                0.67986,                0.37968,                 1.5813,                 1.1847,                 1.6112,               0.007426,               0.007426,               0.007426
                     28,                 1.0275,                 1.0408,                 1.2224,                0.81519,                0.64234,                0.69939,                0.39987,                 1.5618,                  1.086,                 1.5829,               0.007327,               0.007327,               0.007327
                     29,                 1.0233,                  1.027,                 1.2153,                0.82636,                0.63058,                0.69325,                0.38096,                  1.615,                 1.1111,                 1.6729,               0.007228,               0.007228,               0.007228
                     30,                 1.0243,                  1.028,                 1.2181,                0.81268,                0.60631,                0.67263,                 0.3387,                 1.7596,                 1.2157,                 1.7747,               0.007129,               0.007129,               0.007129
                     31,                 1.0225,                 1.0126,                 1.2118,                0.80007,                0.64522,                0.70494,                 0.3827,                 1.6114,                 1.1023,                 1.6462,                0.00703,                0.00703,                0.00703
                     32,                 1.0067,                0.99947,                 1.2087,                0.82834,                 0.6336,                0.71107,                0.38104,                 1.5793,                 1.0839,                 1.6159,               0.006931,               0.006931,               0.006931
                     33,                 1.0069,                0.98452,                 1.2002,                0.87423,                0.60445,                0.69951,                0.38388,                 1.5891,                 1.1259,                 1.6245,               0.006832,               0.006832,               0.006832
                     34,                 1.0014,                0.97049,                  1.195,                0.82936,                0.63715,                0.71015,                 0.3795,                 1.6114,                 1.1097,                 1.6448,               0.006733,               0.006733,               0.006733
                     35,                0.99058,                0.96395,                 1.1951,                0.81432,                0.65933,                0.72242,                0.39549,                 1.5416,                 1.0619,                 1.6169,               0.006634,               0.006634,               0.006634
                     36,                0.99626,                0.95962,                 1.1941,                 0.8521,                0.61919,                0.69897,                0.38555,                 1.5521,                 1.0773,                 1.5995,               0.006535,               0.006535,               0.006535
                     37,                0.98458,                0.94341,                 1.1882,                0.78323,                0.68516,                0.72704,                0.39847,                  1.575,                 1.0224,                 1.6334,               0.006436,               0.006436,               0.006436
                     38,                0.98407,                0.94017,                 1.1841,                0.84754,                0.65513,                0.72844,                0.41145,                 1.5168,                 1.0466,                 1.5657,               0.006337,               0.006337,               0.006337
                     39,                0.97206,                0.93083,                 1.1797,                0.82851,                0.64692,                 0.7139,                0.37917,                 1.6192,                 1.0924,                 1.6474,               0.006238,               0.006238,               0.006238
                     40,                0.97951,                0.93981,                 1.1808,                 0.8767,                0.64399,                0.74159,                0.41035,                 1.5604,                 1.0249,                 1.6108,               0.006139,               0.006139,               0.006139
                     41,                0.97387,                0.92886,                 1.1786,                0.84558,                0.66355,                0.73428,                0.41028,                 1.5296,                 1.0116,                 1.5838,                0.00604,                0.00604,                0.00604
                     42,                0.95941,                0.91382,                  1.174,                 0.8324,                0.69369,                0.76051,                 0.4262,                 1.4938,                0.94142,                  1.529,               0.005941,               0.005941,               0.005941
                     43,                 0.9648,                0.90693,                 1.1686,                0.83825,                0.67547,                0.73725,                0.39511,                 1.6246,                 1.0292,                 1.6531,               0.005842,               0.005842,               0.005842
                     44,                0.95763,                0.91287,                 1.1746,                0.87167,                0.64428,                0.73362,                0.42109,                 1.5041,                 1.0214,                 1.5365,               0.005743,               0.005743,               0.005743
                     45,                0.95065,                0.89694,                  1.164,                0.85762,                0.67452,                0.74194,                0.42877,                 1.4868,                0.99023,                 1.5297,               0.005644,               0.005644,               0.005644
                     46,                0.94069,                0.89167,                 1.1626,                0.85377,                0.70058,                0.76234,                0.43253,                 1.5424,                0.96815,                  1.568,               0.005545,               0.005545,               0.005545
                     47,                0.94617,                0.88517,                 1.1624,                0.87047,                0.66382,                0.73734,                 0.4146,                 1.5345,                0.99927,                 1.5789,               0.005446,               0.005446,               0.005446
                     48,                0.93729,                0.87159,                 1.1569,                0.85291,                0.67754,                0.74758,                 0.4253,                 1.4816,                0.97803,                  1.538,               0.005347,               0.005347,               0.005347
                     49,                0.93607,                0.86321,                 1.1531,                0.86315,                0.67575,                0.75162,                0.44067,                 1.4565,                0.96073,                 1.5105,               0.005248,               0.005248,               0.005248
                     50,                0.92931,                0.85291,                 1.1554,                0.90397,                0.66604,                 0.7496,                0.42438,                 1.5131,                0.97108,                 1.5644,               0.005149,               0.005149,               0.005149
                     51,                0.93187,                0.85321,                 1.1529,                 0.8152,                0.68636,                0.75538,                0.42676,                 1.5408,                0.95281,                 1.5744,                0.00505,                0.00505,                0.00505
                     52,                0.92995,                0.85794,                  1.156,                0.88094,                0.66225,                0.75493,                0.42289,                 1.5465,                0.96579,                 1.5897,               0.004951,               0.004951,               0.004951
                     53,                0.91417,                0.83893,                 1.1458,                0.85553,                0.67997,                0.75242,                0.44862,                 1.4246,                0.92889,                 1.4781,               0.004852,               0.004852,               0.004852
                     54,                 0.9126,                0.84041,                 1.1458,                0.88482,                0.67927,                0.76021,                0.43443,                 1.4942,                0.95275,                 1.5402,               0.004753,               0.004753,               0.004753
                     55,                0.90602,                0.83049,                 1.1386,                  0.875,                0.67889,                0.75003,                0.45029,                 1.4176,                0.90136,                  1.499,               0.004654,               0.004654,               0.004654
                     56,                0.91114,                0.83096,                 1.1429,                0.85798,                0.69114,                0.75811,                0.43871,                 1.4826,                0.92932,                 1.5625,               0.004555,               0.004555,               0.004555
                     57,                0.90517,                0.82346,                 1.1352,                0.86156,                0.69163,                0.75786,                0.44939,                 1.4582,                 0.9308,                 1.5197,               0.004456,               0.004456,               0.004456
                     58,                0.90369,                0.82543,                   1.14,                0.87568,                0.70108,                0.77128,                 0.4529,                 1.4286,                 0.9067,                 1.4934,               0.004357,               0.004357,               0.004357
                     59,                0.89703,                0.80882,                  1.128,                0.89331,                0.68758,                0.77737,                0.45637,                 1.4272,                0.88746,                 1.4886,               0.004258,               0.004258,               0.004258
                     60,                0.90031,                0.80732,                 1.1312,                0.87421,                0.70224,                0.77525,                0.44622,                 1.4761,                0.91289,                 1.5581,               0.004159,               0.004159,               0.004159
                     61,                0.88649,                0.79729,                 1.1251,                0.88833,                0.66591,                0.75766,                0.45092,                 1.4334,                 0.9106,                  1.479,                0.00406,                0.00406,                0.00406
                     62,                0.88106,                0.78869,                 1.1258,                 0.8725,                0.69629,                0.76741,                0.45525,                 1.4693,                0.89167,                 1.5346,               0.003961,               0.003961,               0.003961
                     63,                0.88506,                0.80167,                 1.1246,                0.85484,                0.70522,                0.77143,                0.45608,                 1.4256,                  0.887,                 1.5047,               0.003862,               0.003862,               0.003862
                     64,                0.87556,                0.78292,                   1.12,                0.87266,                0.70105,                0.77373,                 0.4627,                 1.4322,                 0.8701,                 1.5043,               0.003763,               0.003763,               0.003763
                     65,                0.87445,                 0.7763,                 1.1158,                0.87584,                0.71199,                0.78092,                0.45948,                 1.4215,                0.87571,                 1.4893,               0.003664,               0.003664,               0.003664
                     66,                0.87183,                0.77265,                 1.1137,                0.85975,                0.69886,                0.77354,                0.47437,                 1.3675,                0.87366,                 1.4522,               0.003565,               0.003565,               0.003565
                     67,                 0.8674,                0.77474,                 1.1138,                0.89003,                0.70497,                0.77798,                0.45349,                 1.4662,                0.86356,                 1.5125,               0.003466,               0.003466,               0.003466
                     68,                0.86664,                0.76686,                 1.1114,                 0.8603,                0.72011,                0.78226,                0.47977,                 1.3615,                0.84001,                 1.4379,               0.003367,               0.003367,               0.003367
                     69,                0.85767,                0.76483,                 1.1112,                0.84138,                0.71283,                0.78143,                 0.4633,                 1.4401,                0.86568,                  1.488,               0.003268,               0.003268,               0.003268
                     70,                0.85059,                0.75593,                 1.1068,                0.87639,                0.70689,                0.77935,                0.45941,                 1.4777,                 0.8791,                 1.5375,               0.003169,               0.003169,               0.003169
                     71,                0.86065,                0.75513,                  1.108,                0.88879,                0.70765,                0.78908,                0.47455,                 1.4099,                0.84951,                 1.4776,                0.00307,                0.00307,                0.00307
                     72,                0.85095,                0.75294,                 1.1086,                0.88861,                 0.7123,                0.77865,                0.45455,                 1.4647,                0.87227,                 1.5309,               0.002971,               0.002971,               0.002971
                     73,                0.84283,                0.74023,                 1.1024,                0.90175,                0.70382,                0.78304,                0.47863,                 1.3746,                0.84951,                 1.4532,               0.002872,               0.002872,               0.002872
                     74,                0.84623,                0.74764,                 1.1019,                0.83382,                0.72949,                 0.7821,                0.47438,                 1.4095,                0.85179,                 1.4798,               0.002773,               0.002773,               0.002773
                     75,                 0.8468,                0.73958,                 1.0985,                 0.8559,                0.71637,                0.78609,                0.47554,                 1.3907,                0.85048,                 1.4762,               0.002674,               0.002674,               0.002674
                     76,                0.84019,                0.73736,                 1.0971,                 0.8762,                0.71448,                 0.7778,                0.46112,                 1.4281,                0.85854,                 1.5114,               0.002575,               0.002575,               0.002575
                     77,                0.83101,                0.73641,                 1.0965,                0.89881,                0.71423,                0.78926,                0.48198,                 1.3576,                0.82735,                 1.4511,               0.002476,               0.002476,               0.002476
                     78,                0.82995,                0.72213,                 1.0882,                0.91569,                0.71345,                0.80178,                0.49163,                 1.3369,                0.80467,                 1.4198,               0.002377,               0.002377,               0.002377
                     79,                0.84095,                0.72441,                 1.0974,                0.89806,                0.71033,                0.79894,                 0.4824,                 1.3955,                0.81379,                 1.4735,               0.002278,               0.002278,               0.002278
                     80,                0.82208,                0.71714,                  1.089,                0.90873,                0.71299,                0.79878,                0.48543,                 1.3743,                0.81675,                 1.4519,               0.002179,               0.002179,               0.002179
                     81,                0.82337,                0.70966,                 1.0884,                0.89727,                0.71653,                0.79918,                0.48992,                 1.3552,                0.81676,                 1.4507,                0.00208,                0.00208,                0.00208
                     82,                0.81999,                0.70622,                 1.0853,                0.89673,                0.72579,                0.79794,                0.48358,                 1.3707,                0.82275,                 1.4532,               0.001981,               0.001981,               0.001981
                     83,                 0.8225,                0.71085,                 1.0876,                0.88856,                0.72245,                0.80315,                0.49539,                  1.332,                0.79587,                 1.4171,               0.001882,               0.001882,               0.001882
                     84,                0.80886,                0.70254,                 1.0802,                0.91477,                0.72712,                0.80422,                0.48859,                 1.3298,                0.79103,                 1.4259,               0.001783,               0.001783,               0.001783
                     85,                0.81103,                0.69283,                 1.0795,                0.90938,                0.71125,                0.79149,                0.49838,                 1.3052,                0.79969,                 1.3937,               0.001684,               0.001684,               0.001684
                     86,                0.81723,                 0.7057,                 1.0833,                0.92109,                0.71994,                0.80615,                 0.4976,                 1.3341,                0.79365,                 1.4058,               0.001585,               0.001585,               0.001585
                     87,                0.79762,                0.68889,                 1.0773,                0.88571,                0.73454,                0.80917,                0.50214,                 1.3204,                0.78296,                 1.4054,               0.001486,               0.001486,               0.001486
                     88,                0.79882,                0.68697,                   1.07,                0.89832,                0.74932,                0.80667,                0.49117,                 1.3656,                0.78081,                 1.4364,               0.001387,               0.001387,               0.001387
                     89,                0.79635,                0.68726,                 1.0751,                0.90385,                0.72741,                0.80553,                0.49604,                  1.346,                 0.7817,                 1.4292,               0.001288,               0.001288,               0.001288
                     90,                 0.8073,                0.62131,                 1.0758,                0.85227,                0.74209,                0.78384,                0.49289,                 1.3115,                0.79493,                 1.3984,               0.001189,               0.001189,               0.001189
                     91,                0.79181,                0.59836,                 1.0619,                0.90237,                0.71641,                0.79165,                 0.4899,                 1.3461,                0.80722,                  1.427,                0.00109,                0.00109,                0.00109
                     92,                0.77922,                0.58569,                  1.058,                0.88655,                0.72409,                0.79697,                0.48915,                  1.323,                0.78425,                 1.4172,               0.000991,               0.000991,               0.000991
                     93,                0.77659,                0.58274,                 1.0577,                0.91319,                0.72663,                0.80097,                0.50171,                  1.319,                0.76529,                 1.3953,               0.000892,               0.000892,               0.000892
                     94,                0.77135,                0.58119,                  1.057,                0.91675,                0.73149,                0.80683,                 0.4983,                 1.2994,                0.78188,                 1.3901,               0.000793,               0.000793,               0.000793
                     95,                0.76204,                  0.573,                 1.0519,                0.90843,                0.73066,                0.80446,                 0.5062,                 1.3053,                0.76635,                 1.3954,               0.000694,               0.000694,               0.000694
                     96,                0.75781,                0.57187,                 1.0509,                0.88593,                0.73448,                 0.8063,                0.50486,                  1.293,                0.76572,                 1.3878,               0.000595,               0.000595,               0.000595
                     97,                0.75637,                0.56598,                 1.0451,                0.90523,                0.73441,                 0.8061,                0.50181,                 1.3074,                0.76679,                 1.3994,               0.000496,               0.000496,               0.000496
                     98,                0.75012,                0.56106,                 1.0425,                 0.8988,                0.72993,                0.80395,                0.50417,                 1.3049,                0.76852,                 1.3989,               0.000397,               0.000397,               0.000397
                     99,                0.74948,                0.55902,                 1.0426,                0.89994,                0.73111,                0.80881,                 0.5071,                  1.291,                 0.7616,                 1.3917,               0.000298,               0.000298,               0.000298
